Offender Characteristics from NCRP,,Year,,,,,,,,,
State,Race/Hispanic Ethnicity of Inmate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,"Hispanic, any race",172,180,180,190,199,192,205,213,203,219
,"Other race(s), non-Hispanic",196,230,238,247,249,257,287,305,311,328
,Missing,228,219,230,217,235,252,262,289,292,281
LOUISIANA,"White, non-Hispanic",*,*,*,*,*,*,*,*,*,*
,"Black, non-Hispanic",*,*,*,*,*,*,*,*,*,*
,"Hispanic, any race",*,*,*,*,*,95,89,89,89,69
,"Other race(s), non-Hispanic",*,*,*,*,*,*,*,*,*,*
,Missing,39445,39710,40172,39299,38030,36282,35593,33650,32308,31540
MAINE,"White, non-Hispanic",*,*,1824,1881,1937,1948,2041,1985,1961,1777
,"Black, non-Hispanic",*,*,147,152,173,193,214,253,264,228
,"Hispanic, any race",*,*,*,*,*,*,*,*,*,*
,"Other race(s), non-Hispanic",*,*,92,99,92,101,106,110,128,101
,Missing,*,*,45,41,39,38,42,57,72,79
MARYLAND,"White, non-Hispanic",*,*,*,*,4552,4889,4860,4623,4371,4128
,"Black, non-Hispanic",*,*,*,*,12425,12689,12665,12496,12397,12453
,"Hispanic, any race",*,*,*,*,596,648,636,653,688,734
,"Other race(s), non-Hispanic",*,*,*,*,1404,390,256,252,253,247
,Missing,22645,22558,21522,21335,2034,2148,1577,1344,1148,1033
MASSACHUSETTS,"White, non-Hispanic",4297,4434,4434,4360,4280,3922,3681,3546,3410,3075
,"Black, non-Hispanic",2972,3065,2952,2830,2823,2611,2493,2402,2260,2212
,"Hispanic, any race",3112,3175,2989,2852,2762,2615,2508,2536,2436,2371
,"Other race(s), non-Hispanic",303,309,312,320,302,290,263,235,211,198
,Missing,629,641,621,588,547,485,457,414,375,350
MICHIGAN,"White, non-Hispanic",*,*,*,*,*,*,*,*,*,*
,"Black, non-Hispanic",*,*,*,*,*,*,*,*,*,*
,"Hispanic, any race",887,1117,1504,1555,1583,1563,1559,1523,1556,*
,"Other race(s), non-Hispanic",*,*,*,*,*,*,*,*,*,*
,Missing,43278,41823,42132,42204,41807,41065,39563,38143,37205,*
MINNESOTA,"White, non-Hispanic",4508,4439,4575,4746,4902,4967,4992,5048,4641,4659
,"Black, non-Hispanic",3465,3475,3476,3582,3664,3826,3650,3714,3666,3615
,"Hispanic, any race",753,739,754,759,754,698,682,634,600,563
,"Other race(s), non-Hispanic",1070,1146,1133,1200,1312,1299,1257,1307,1187,1135
,Missing,*,*,*,*,*,*,11,*,*,*
MISSISSIPPI,"White, non-Hispanic",6862,7014,7460,7292,6164,6397,6778,6945,6981,7136
,"Black, non-Hispanic",13970,14148,14621,14427,12402,12283,12156,11891,12013,12018
,"Hispanic, any race",161,157,158,163,145,134,142,117,135,120
,"Other race(s), non-Hispanic",59,55,62,70,60,67,64,65,80,75
,Missing,15,13,18,18,22,31,51,85,67,69
MISSOURI,"White, non-Hispanic",17072,17210,17624,18010,18634,19197,19345,19381,17976,14987
,"Black, non-Hispanic",11137,10982,10880,10774,10380,10190,9804,9332,8207,7281
,"Hispanic, any race",603,597,605,615,605,604,609,681,627,551
,"Other race(s), non-Hispanic",147,154,151,165,163,175,160,169,161,129
,Missing,1665,1889,1988,1972,2160,2164,2544,3037,3397,3096
MONTANA,"White, non-Hispanic",409,491,574,703,893,1221,1755,2699,2734,3334
,"Black, non-Hispanic",11,10,13,16,25,32,54,95,91,132
,"Hispanic, any race",136,124,59,37,19,14,*,37,72,125
,"Other race(s), non-Hispanic",100,117,138,168,210,319,491,844,857,1117
