State.Code,NAME,residents_2015_white_nh,residents_2015_black_nh,residents_2016_white_nh,residents_2016_black_nh,residents_2017_white_nh,residents_2017_black_nh,residents_2018_white_nh,residents_2018_black_nh,residents_2019_white_nh,residents_2019_black_nh,Region,Division,incarcerated_white_nh_2015,incarcerated_white_nh_2016,incarcerated_white_nh_2017,incarcerated_white_nh_2018,incarcerated_white_nh_2019,incarcerated_black_nh_2015,incarcerated_black_nh_2016,incarcerated_black_nh_2017,incarcerated_black_nh_2018,incarcerated_black_nh_2019,white_incarceration_rate_2015,white_incarceration_rate_2016,white_incarceration_rate_2017,white_incarceration_rate_2018,white_incarceration_rate_2019,black_incarceration_rate_2015,black_incarceration_rate_2016,black_incarceration_rate_2017,black_incarceration_rate_2018,black_incarceration_rate_2019,white_incarceration_rate_2015_2019,black_incarceration_rate_2015_2019,incarceration_2015_2019_RR
IN,Indiana,3481365,412085,3461559,416252,3439524,420398,3419632,426269,3399375,430982,Midwest,East North Central,16741,15592,15910,16670,16878,9180,8651,8826,8850,8852,480.87459947463134,450.4328829871165,462.5640059496605,487.47935450364247,496.5030336458908,2227.6957423832464,2078.308332452457,2099.439102945304,2076.1537902122836,2053.9140845789384,475.5707753121884,2107.102210514446,4.430680605071325
KS,Kansas,1442115,115610,1429064,114966,1414654,114097,1401900,113788,1387155,113026,Midwest,West North Central,5578,5581,5684,5851,5854,2874,2844,2761,2773,2755,386.7930088793196,390.535343413591,401.7943610239677,417.3621513660033,422.01484333041367,2485.9441224807542,2473.7748551745735,2419.870811677783,2436.9880831019086,2437.492258418417,403.69994160265907,2450.8140261706876,6.070880308877768
KY,Kentucky,2487555,243885,2473068,245185,2459706,247769,2443654,248337,2426613,249866,South,East South Central,16350,17514,17858,17844,17542,4807,4903,5017,4929,4877,657.2718995157896,708.1891804026416,726.0217277999891,730.2179441115641,722.9006026094808,1971.0109272813006,1999.7145012949406,2024.8699393386582,1984.8029089503377,1951.8461895576029,708.920270887893,1986.4488932845677,2.802076587253773
LA,Louisiana,1818525,1000406,1806891,1001237,1785247,998732,1763195,994582,1741074,990214,South,West South Central,11596,11631,11109,10547,10436,24629,23895,22477,21700,21061,637.659641742621,643.7023594671732,622.2668347853266,598.1754712326203,599.400140373126,2461.9004684098254,2386.5478403215225,2250.5537020942556,2181.821106756406,2126.913980210338,620.2408895201735,2281.5474195584693,3.6784859852169767
MA,Massachusetts,3366861,329947,3337302,336469,3308278,342893,3273708,347281,3236279,352001,Northeast,New England,4374,4144,3956,3766,3462,2729,2578,2485,2377,2306,129.91329312377314,124.17216062555921,119.5788262050529,115.03774924336562,106.97470768125987,827.1025346495043,766.1924278313901,724.7158734649001,684.4601345884168,655.1117752506385,119.13534737580217,731.5165491569699,6.140214178831947
MD,Maryland,2069959,1225164,2042228,1228400,2013972,1233455,1983699,1234952,1953065,1237343,South,South Atlantic,5375,5202,4879,4587,4310,14156,13746,13427,13215,13197,259.6669789111765,254.72180383385205,242.257588486831,231.23467824503618,220.67877925209862,1155.4371496387423,1119.0166069684142,1088.5682898849168,1070.082076064495,1066.5595554345077,241.71196574579886,1099.9327355982155,4.550592819037273
ME,Maine,815078,12063,809391,12761,803841,13170,798649,13695,793608,14641,Northeast,New England,1891,1989,1943,1911,1779,175,190,216,234,231,232.0023359727535,245.7403158671149,241.71446840855344,239.27908255065742,224.16608703541294,1450.71706872254,1488.911527309772,1640.0911161731208,1708.6527929901424,1577.7610818933133,236.58045796689848,1573.2267174177778,6.649859125887304
MI,Michigan,4950780,928517,4918021,924016,4884694,919236,4844981,913263,4796576,907624,Midwest,East North Central,18759,18101,17476,17061,17224,22811,21999,21060,20718,20040,378.909989940979,368.0545487707352,357.7706198177409,352.1376038419965,359.0894838318,2456.713231960212,2380.802929819397,2291.032988264167,2268.568856944823,2207.9627687236125,363.19244924065026,2321.0161551424426,6.390595839740445
MN,Minnesota,2937438,212644,2921463,221973,2905702,231535,2888666,240706,2868760,250508,Midwest,West North Central,4956,4943,4978,4654,4675,3768,3577,3654,3620,3586,168.71845465334076,169.19605006121932,171.3183251413944,161.1124304436719,162.96239490232713,1771.9756964692162,1611.4572493050957,1578.1631286846482,1503.9093333776475,1431.4912098615614,166.66153104039068,1579.3993235396338,9.476687953603786
MO,Missouri,3168171,475616,3153782,475847,3139489,475284,3122314,474372,3103403,472201,Midwest,West North Central,20223,20565,20787,19442,16286,11329,11138,10973,10125,9027,638.3178180723199,652.0742397540477,662.1141211197108,622.6792052304797,524.7787670502348,2381.9636008881116,2340.668324062146,2308.7248886981256,2134.4008499658494,1911.685913413991,619.9928302453585,2215.4887154056446,3.573410219161531
MS,Mississippi,1093153,750469,1085403,751025,1076739,750372,1064134,745975,1054958,741448,South,East South Central,6404,6761,6910,7012,7133,12294,12171,11936,12008,12025,585.828333270823,622.9022768501653,641.7525509896085,658.9395696406656,676.1406615239658,1638.1755941950967,1620.5852002263573,1590.6776905321626,1609.705419082409,1621.8264800768227,637.1126784550456,1616.1940768225697,2.5367476295429077
MT,Montana,578591,3730,578694,3900,579259,4020,578472,4073,577611,4182,West,Mountain,2736,2811,2774,2772,3359,93,115,91,97,131,472.87289294164617,485.7489450383104,478.88768236660974,479.19346139484713,581.5332464236311,2493.2975871313674,2948.7179487179487,2263.681592039801,2381.5369506506263,3132.4725011956,499.6472456330089,2643.9413159470687,5.291615913137735
