state,year,no_college_RR,unemployment_RR,median_income_ratio,renters_RR,incarceration_RR,two_class,three_class,four_class,five_class,three_class_reordered
Alabama,2019,1.141308898007435,2.0652173913043477,1.7075866540910165,2.112362365704921,2.792119149761586,1,1,2,1,3
Alaska,2019,1.2401597844235843,0.9038461538461536,1.3802801048383206,2.0320335532164795,4.073530106604137,1,1,2,1,3
Arizona,2019,1.1613641042016505,1.7346938775510206,1.3644747393744987,2.2613251884289154,4.091366909874488,1,1,2,1,3
Arkansas,2019,1.120445013851057,2.045454545454545,1.6115060804490178,1.976951537583689,3.3683174166307577,1,1,2,1,3
California,2019,1.3262643588151817,2.03921568627451,1.6800547871211682,1.781815110537836,8.299741985940296,1,3,1,3,2
Colorado,2019,1.396983074497423,1.8157894736842104,1.5204249472686109,2.025405109025757,6.279960780184022,1,3,1,3,2
Connecticut,2019,1.406446298703243,2.2608695652173916,1.8270816326530612,2.5152297560988393,8.184062257137446,2,3,1,3,2
Delaware,2019,1.171740870360975,1.7608695652173914,1.469668989892973,2.4827904199699327,4.158855593942359,1,1,2,1,3
Florida,2019,1.2134541123202722,1.9361702127659577,1.4791137115725863,2.13621156372697,3.520497677506999,1,1,2,1,3
Georgia,2019,1.1715262411371496,2,1.52126706962167,2.0493530867297896,2.736841785610195,1,1,2,1,3
Hawaii,2019,1.3034765561321486,2.066666666666667,1.179497115301817,1.7823882240599698,1.9835086068761576,1,1,2,1,3
Idaho,2019,1.043000259417286,2.125,1.3371520193335502,2.2587282698812112,3.9050085506509977,1,1,2,2,3
Illinois,2019,1.2800966992582514,3.2790697674418605,1.9102999507427476,2.4063691211432867,7.785259667111166,2,2,3,5,1
Indiana,2019,1.1259504684888024,2.675,1.715460667717438,2.4317431477470564,4.430680605071325,1,1,2,4,3
Iowa,2019,1.1733911436026785,3.3125,1.948660505927378,2.9385362873870817,8.532657522215349,2,2,3,5,1
Kansas,2019,1.2475426700054535,2.228571428571428,1.6565035846529583,2.223270812822937,6.070880308877768,1,1,1,1,3
Kentucky,2019,1.0987943969768288,1.8627450980392155,1.438254996705469,2.2198273377191575,2.802076587253773,1,1,2,1,3
Louisiana,2019,1.1744984286740758,2.127659574468085,1.99603798297315,2.1895966676571996,3.6784859852169767,1,1,2,4,3
Maine,2019,1.087409596528374,1.875,1.3641173865411065,2.9395390470655576,6.649859125887304,1,1,4,2,3
Maryland,2019,1.2800922092766176,1.9736842105263157,1.4092005385969844,2.099211281662097,4.550592819037273,1,1,2,1,3
Massachusetts,2019,1.3876833080853987,2.0731707317073176,1.7101192083638748,2.187120652201502,6.140214178831947,1,3,1,3,2
Michigan,2019,1.1844108993804876,2.8913043478260874,1.7482022535530264,2.610576860238655,6.390595839740445,2,2,3,4,1
Minnesota,2019,1.2643471634129133,3.03448275862069,1.982095157493851,3.244351913115905,9.476687953603786,2,2,3,5,1
Mississippi,2019,1.1406613814983766,2.1346153846153846,1.8302402813049423,2.1085603918651383,2.5367476295429077,1,1,2,1,3
Missouri,2019,1.16702424671428,2.358974358974359,1.5906291185884505,2.2269203935566897,3.573410219161531,1,1,2,1,3
Montana,2019,0.9996689802338734,1.8857142857142857,1.2664410274801632,2.420368437429731,5.291615913137735,1,1,4,2,3
Nebraska,2019,1.1948667866080716,3.0769230769230766,1.8003113186568824,2.3604578308391875,8.23160260618864,2,2,3,5,1
Nevada,2019,1.167756198532317,1.8727272727272728,1.6191450991860408,1.9640164427175837,3.670661782963859,1,1,2,1,3
New Hampshire,2019,1.1610620499421032,2.3823529411764706,1.337816141562365,2.500491025566113,2.8101804668934314,1,1,2,1,3
New Jersey,2019,1.353637792372708,2.130434782608696,1.7740342178902098,2.627324509247078,11.268264436167314,2,3,1,3,2
