Domain,Type 1,Type 2,Type 3
Education inequity,1.16 (0.08),1.33 (0.07),1.21 (0.05)
Employment inequity,1.94 (0.33),2.09 (0.15),3.06 (0.28)
Homeownership inequity,2.22 (0.27),2.25 (0.33),2.61 (0.33)
Incarceration inequity,4.09 (1.23),7.81 (1.62),7.58 (2.27)
Income inequity,1.53 (0.17),1.69 (0.11),1.87 (0.12)
