state,year,total_both_genders_white,total_male_white,less_than_hs_male_white,hs_grad_male_white,some_college_male_white,college_degree_male_white,total_female_white,less_than_hs_female_white,hs_grad_female_white,some_college_female_white,college_degree_female_white,total_both_genders_black,total_male_black,less_than_hs_male_black,hs_grad_male_black,some_college_male_black,college_degree_male_black,total_female_black,less_than_hs_female_black,hs_grad_female_black,some_college_female_black,college_degree_female_black,percent_no_college_white,percent_no_college_black,edu_RR
New Hampshire,2019,884111,430448,31043,125365,119103,154937,453663,23875,119931,138440,171417,12526,7691,930,2460,2203,2098,4835,775,1385,1422,1253,0.6308676173014475,0.7324764489861089,1.1610620499421032
New Jersey,2019,3619142,1732065,102117,454293,400281,775374,1887077,105197,526643,435104,820133,793348,360161,45001,135360,101865,77935,433187,48817,133765,135664,114941,0.559147720647601,0.7568834861876503,1.353637792372708
New Mexico,2019,610960,297903,17408,65062,96607,118826,313057,14284,63874,105236,129663,27008,15687,1523,3777,6440,3947,11321,1079,2238,4398,3606,0.593281065863559,0.7203421208530806,1.2141667116994135
New York,2019,7977098,3842277,271636,982877,960345,1627419,4134821,256912,1039689,1038121,1800099,2054954,914857,155893,313566,255464,189934,1140097,176565,326014,333342,304176,0.5703302128167411,0.7595517953199926,1.3317754841861276
North Carolina,2019,4718733,2258639,221464,581462,677472,778241,2460094,184019,593430,810472,872173,1435294,642306,105065,224602,201569,111070,792988,102204,210478,285914,194392,0.6502421306736363,0.7871780973096801,1.2105922704426753
North Dakota,2019,434504,220377,15351,61776,81344,61906,214127,11806,52756,76055,73510,11984,7276,630,2043,2929,1674,4708,970,1245,1446,1047,0.688343490508718,0.7729472630173565,1.1229092359776838
Ohio,2019,6541263,3153769,278843,1095504,864647,914775,3387494,269609,1116306,998253,1003326,911714,420846,64160,152666,138154,65866,490868,64781,145516,189818,90753,0.7067690138739262,0.8282147691052237,1.1718323141610747
Oklahoma,2019,1853430,895514,83918,289153,274958,247485,957916,83527,289798,313095,271496,177080,86962,10281,32027,29313,15341,90118,9030,28020,33908,19160,0.719988885471801,0.805167156087644,1.1183049798887197
Oregon,2019,2333424,1134156,75773,267662,394038,396683,1199268,64703,269058,438767,426740,50259,27395,3076,6733,9758,7828,22864,2960,4867,9242,5795,0.6471181405522528,0.7289440697188563,1.126446662578139
Pennsylvania,2019,7176924,3458424,269959,1238330,815648,1134487,3718500,262669,1306906,920303,1228622,902460,419507,61023,172956,114995,70533,482953,62171,164043,154381,102358,0.6707351227350324,0.8084225339627241,1.205278367809708
Rhode Island,2019,569265,269296,23434,76589,69160,100113,299969,24296,77546,83898,114229,43097,21507,2977,6742,7224,4564,21590,3509,7113,6407,4561,0.623475885571746,0.7882683249414113,1.2643124508633492
South Carolina,2019,2324975,1114174,111414,303581,328322,370857,1210801,101636,321947,388600,398618,870680,388563,77790,156539,106907,47327,482117,74625,158108,159553,89831,0.6690394520371187,0.8424702531354803,1.2592235787744541
South Dakota,2019,495899,246152,16915,78786,78777,71674,249747,13009,71117,85069,80552,9371,6051,929,2012,2056,1054,3320,1046,967,820,487,0.6930302339790966,0.8355565041084196,1.2056566411410299
Tennessee,2019,3553558,1704649,200327,565740,453248,485334,1848909,190328,586282,539514,532785,710073,323197,50752,122525,95987,53933,386876,48744,116764,130441,90927,0.7134930680743075,0.7959928063734292,1.11562794649398
Texas,2019,8572364,4184826,259243,972971,1306365,1646247,4387538,260460,1027264,1430369,1669445,2165688,1014227,114792,330021,344918,224496,1151461,106736,300755,436433,307537,0.6132114781873472,0.754335342856404,1.2301389809046284
Utah,2019,1483251,734295,34154,152724,255269,292148,748956,30512,167929,296209,254306,18531,11274,1207,2984,4229,2854,7257,1103,1707,2777,1670,0.63158359576363,0.755868544600939,1.196783054010514
Vermont,2019,416037,201544,17255,65908,48107,70274,214493,11267,56108,59391,87727,4282,2610,358,539,816,897,1672,119,286,628,639,0.6202236820282812,0.6412891172349369,1.0339642548600638
Virginia,2019,3767293,1831071,149204,438857,466457,776553,1936222,129089,447808,547151,812174,1072984,500520,76648,169198,146259,108415,572464,74061,151554,194122,152727,0.5782841950440276,0.7566207883808146,1.308389187989496
Washington,2019,3750649,1849135,101527,425435,624958,697215,1901514,88495,409280,697058,706681,180350,98960,8772,26001,39196,24991,81390,9588,19266,32133,20403,0.6256925134823333,0.7483005267535348,1.1959556980933308
West Virginia,2019,1203437,582453,83554,249860,134785,114254,620984,74819,241917,173237,131011,43749,24329,2797,10252,8002,3278,19420,1730,6990,7333,3367,0.7961962279703881,0.8481108139614619,1.0652032553876964
Wisconsin,2019,3381290,1660409,106619,531874,521954,499962,1720881,84464,511902,556703,567812,212316,100031,18603,37859,32096,11473,112285,16441,34541,41760,19543,0.6842110555438901,0.8539158612633998,1.24802990881901
Wyoming,2019,340666,171436,9083,53622,60601,48130,169230,8475,44486,65758,50511,3206,1881,80,443,743,615,1325,157,329,510,329,0.7104465957859017,0.7055520898315658,0.9931106630908385
Puerto Rico,2019,23045,12180,1780,2706,3430,4264,10865,1362,2312,2686,4505,281690,136616,38808,44510,32386,20912,145074,32863,37944,38071,36196,0.619483619006292,0.7972664986332493,1.2869856024799124
