"Label (Grouping)","Occupied housing units","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Hispanic or Latino origin","White alone, not Hispanic or Latino","AGE OF HOUSEHOLDER","AGE OF HOUSEHOLDER!!Under 35 years","AGE OF HOUSEHOLDER!!35 to 44 years","AGE OF HOUSEHOLDER!!45 to 54 years","AGE OF HOUSEHOLDER!!55 to 64 years","AGE OF HOUSEHOLDER!!65 to 74 years","AGE OF HOUSEHOLDER!!75 to 84 years","AGE OF HOUSEHOLDER!!85 years and over","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier"
"        Margin of Error","±1,852","","","±0.6","±0.7","±0.1","±0.3","±0.1","±0.4","±0.3","±0.4","±0.6","","±0.7","±0.6","±0.5","±0.5","±0.3","±0.3","±0.2","","±0.7","±0.7","±0.7","±0.8","","±0.8","±1.0","±0.5","±0.3","±0.2","±0.1"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,217,508","","","80.7%","13.7%","0.3%","2.1%","0.1%","1.8%","1.5%","18.6%","64.8%","","15.9%","16.4%","19.9%","18.8%","15.4%","9.6%","4.0%","","11.1%","26.4%","32.4%","30.0%","","27.7%","43.8%","16.8%","7.0%","3.1%","1.6%"
"        Margin of Error","±24,923","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,772,944","","","85.6%","9.6%","0.2%","2.2%","0.0%","1.2%","1.3%","14.8%","72.5%","","7.3%","13.8%","20.6%","21.9%","19.5%","12.3%","4.6%","","9.1%","25.3%","31.7%","33.9%","","12.6%","47.0%","23.5%","10.0%","4.5%","2.4%"
"        Margin of Error","±29,238","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,444,564","","","71.1%","21.6%","0.3%","1.9%","0.1%","3.0%","1.9%","25.9%","49.8%","","32.7%","21.6%","18.6%","12.7%","7.3%","4.4%","2.8%","","15.1%","28.6%","33.9%","22.4%","","57.0%","37.4%","3.9%","1.2%","0.4%","0.2%"
"        Margin of Error","±10,391","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,540,690","","","63.8%","29.9%","0.3%","2.9%","0.0%","2.0%","1.2%","6.2%","60.0%","","20.5%","20.2%","21.5%","18.2%","11.8%","5.9%","2.0%","","12.9%","26.0%","30.2%","30.9%","","26.8%","43.5%","15.8%","6.8%","4.2%","2.9%"
"        Margin of Error","±10,836","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,272,001","","","72.3%","22.4%","0.2%","2.8%","0.0%","1.2%","1.0%","4.2%","69.5%","","10.7%","19.0%","23.8%","21.9%","15.1%","7.5%","2.2%","","10.2%","24.9%","28.5%","36.3%","","10.7%","46.7%","22.4%","9.8%","6.1%","4.2%"
"        Margin of Error","±14,319","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,268,689","","","48.5%","43.3%","0.3%","3.0%","0.1%","3.4%","1.5%","9.7%","42.9%","","38.0%","22.4%","17.5%","11.6%","5.9%","3.0%","1.6%","","17.6%","27.9%","33.3%","21.2%","","55.7%","37.8%","3.9%","1.4%","0.7%","0.6%"
"        Margin of Error","±7,198","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.3","±0.3","±0.3","","±0.3","±0.4","±0.1","±0.1","±0.1","±0.1"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","450,299","","","33.8%","2.2%","0.2%","39.3%","7.7%","1.0%","15.7%","7.0%","31.4%","","18.3%","16.2%","19.2%","20.7%","13.7%","7.9%","4.0%","","7.3%","23.8%","34.6%","34.3%","","25.8%","37.2%","15.0%","9.0%","6.6%","6.3%"
"        Margin of Error","±1,824","","","±0.3","±0.1","±0.1","±0.3","±0.2","±0.1","±0.3","±0.2","±0.3","","±0.3","±0.3","±0.2","±0.3","±0.2","±0.2","±0.1","","±0.2","±0.4","±0.5","±0.5","","±0.4","±0.6","±0.4","±0.3","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","257,315","","","30.2%","0.8%","0.1%","47.6%","6.3%","0.6%","14.4%","4.7%","28.8%","","6.6%","13.1%","20.6%","25.6%","18.2%","10.5%","5.3%","","6.3%","22.3%","32.0%","39.5%","","10.3%","34.7%","20.4%","13.7%","10.6%","10.2%"
"        Margin of Error","±2,161","","","±0.4","±0.1","±0.1","±0.5","±0.2","±0.1","±0.4","±0.2","±0.4","","±0.4","±0.4","±0.4","±0.4","±0.4","±0.3","±0.2","","±0.3","±0.6","±0.6","±0.6","","±0.3","±0.7","±0.5","±0.4","±0.3","±0.3"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","192,984","","","38.6%","4.0%","0.4%","28.2%","9.7%","1.6%","17.5%","10.0%","34.8%","","34.0%","20.3%","17.3%","14.1%","7.7%","4.4%","2.2%","","8.6%","25.8%","38.2%","27.4%","","46.5%","40.5%","7.9%","2.7%","1.3%","1.1%"
"        Margin of Error","±1,865","","","±0.6","±0.3","±0.1","±0.6","±0.4","±0.2","±0.5","±0.5","±0.6","","±0.6","±0.5","±0.6","±0.5","±0.4","±0.3","±0.2","","±0.4","±0.7","±0.8","±0.7","","±0.8","±0.8","±0.4","±0.3","±0.1","±0.1"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","585,259","","","93.9%","0.5%","1.2%","1.1%","0.1%","1.7%","1.6%","7.9%","88.1%","","22.3%","17.3%","19.1%","18.5%","13.0%","7.0%","2.8%","","9.8%","25.2%","37.9%","27.1%","","27.2%","43.9%","15.8%","6.4%","4.2%","2.5%"
"        Margin of Error","±2,354","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.4","±0.4","±0.3","","±0.5","±0.5","±0.3","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,981","","","95.3%","0.2%","0.9%","1.0%","0.1%","1.2%","1.3%","6.0%","90.9%","","13.0%","16.8%","20.8%","22.0%","16.0%","8.5%","2.9%","","8.2%","24.4%","36.5%","31.0%","","12.9%","47.7%","21.2%","8.8%","6.0%","3.4%"
"        Margin of Error","±3,067","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","","±0.3","±0.5","±0.5","±0.4","","±0.3","±0.5","±0.5","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","180,278","","","90.9%","1.2%","1.7%","1.3%","0.2%","2.6%","2.2%","12.3%","81.9%","","43.3%","18.3%","15.1%","10.7%","6.3%","3.6%","2.6%","","13.5%","27.0%","41.2%","18.3%","","59.3%","35.3%","3.5%","1.1%","0.4%","0.4%"
"        Margin of Error","±2,602","","","±0.4","±0.2","±0.2","±0.2","±0.1","±0.3","±0.2","±0.5","±0.6","","±0.8","±0.6","±0.5","±0.4","±0.4","±0.3","±0.3","","±0.6","±0.8","±0.9","±0.7","","±0.9","±0.9","±0.3","±0.2","±0.1","±0.1"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,778,633","","","76.6%","13.8%","0.2%","4.2%","0.0%","3.9%","1.2%","11.0%","70.0%","","19.7%","18.5%","21.0%","18.7%","11.8%","7.2%","3.2%","","10.6%","24.8%","30.6%","34.0%","","22.6%","41.6%","17.4%","8.3%","5.6%","4.4%"
"        Margin of Error","±11,513","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,194,707","","","84.1%","8.2%","0.2%","3.8%","0.0%","2.8%","0.9%","8.6%","78.6%","","10.8%","17.7%","23.2%","21.9%","14.3%","8.6%","3.4%","","8.4%","24.2%","29.9%","37.5%","","9.5%","41.9%","23.0%","11.3%","8.0%","6.3%"
"        Margin of Error","±15,979","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,583,926","","","61.7%","25.0%","0.3%","5.0%","0.0%","6.1%","1.8%","15.8%","52.5%","","37.5%","20.0%","16.5%","12.2%","6.7%","4.2%","2.9%","","15.1%","25.9%","31.9%","27.0%","","49.1%","41.1%","6.1%","2.1%","0.9%","0.6%"
"        Margin of Error","±7,482","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,492,183","","","86.7%","8.8%","0.2%","1.5%","0.0%","1.6%","1.1%","4.2%","84.3%","","20.3%","17.7%","20.5%","19.0%","12.2%","7.2%","3.0%","","11.1%","33.0%","31.1%","24.8%","","24.2%","40.7%","16.8%","7.9%","5.7%","4.8%"
"        Margin of Error","±6,801","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,730,954","","","91.9%","4.9%","0.2%","1.1%","0.0%","1.1%","0.9%","3.2%","89.9%","","12.0%","17.2%","22.2%","22.0%","14.8%","8.6%","3.1%","","8.8%","33.2%","30.0%","28.0%","","11.0%","41.6%","22.2%","10.7%","7.9%","6.7%"
"        Margin of Error","±9,333","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","761,229","","","74.9%","17.8%","0.3%","2.4%","0.0%","2.8%","1.7%","6.6%","71.4%","","39.1%","18.8%","16.7%","12.1%","6.2%","4.2%","2.8%","","16.2%","32.6%","33.8%","17.4%","","54.2%","38.6%","4.5%","1.5%","0.6%","0.6%"
"        Margin of Error","±5,434","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.3","±0.3","±0.2","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.4","±0.3","","±0.5","±0.4","±0.1","±0.1","±0.1","±0.1"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,232,228","","","93.8%","2.5%","0.3%","1.5%","0.0%","0.9%","0.9%","3.4%","91.5%","","21.9%","15.9%","19.3%","18.6%","12.0%","8.2%","4.0%","","7.8%","30.7%","34.2%","27.3%","","23.5%","40.1%","16.5%","8.1%","6.4%","5.3%"
"        Margin of Error","±3,504","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.3","±0.3","","±0.2","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","884,984","","","96.6%","1.1%","0.2%","1.0%","0.0%","0.6%","0.6%","2.4%","94.8%","","13.7%","16.1%","21.2%","21.7%","14.2%","9.4%","3.7%","","6.4%","30.9%","32.9%","29.8%","","11.8%","41.0%","20.9%","10.6%","8.6%","7.1%"
"        Margin of Error","±4,590","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.1","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","347,244","","","86.9%","6.3%","0.6%","2.7%","0.1%","1.6%","1.9%","5.7%","83.2%","","42.8%","15.6%","14.6%","10.7%","6.2%","5.2%","4.9%","","11.4%","30.2%","37.6%","20.8%","","53.2%","38.0%","5.3%","1.7%","0.9%","0.9%"
"        Margin of Error","±3,002","","","±0.3","±0.2","±0.1","±0.2","±0.1","±0.1","±0.2","±0.2","±0.3","","±0.5","±0.4","±0.4","±0.3","±0.2","±0.2","±0.2","","±0.4","±0.5","±0.6","±0.5","","±0.5","±0.5","±0.2","±0.1","±0.1","±0.1"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,112,335","","","88.1%","5.6%","0.7%","2.0%","0.0%","1.7%","1.8%","7.4%","82.8%","","22.8%","16.7%","19.6%","18.5%","11.5%","7.3%","3.6%","","8.8%","25.3%","34.3%","31.6%","","26.1%","40.6%","16.3%","7.9%","5.1%","4.0%"
"        Margin of Error","±3,321","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.3","±0.2","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","746,789","","","91.7%","3.2%","0.6%","1.6%","0.0%","1.4%","1.3%","5.8%","87.7%","","12.9%","16.3%","22.1%","22.1%","14.3%","8.8%","3.4%","","7.1%","24.6%","32.3%","36.0%","","11.7%","42.2%","22.0%","11.1%","7.4%","5.7%"
"        Margin of Error","±4,208","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365,546","","","80.8%","10.6%","1.0%","2.8%","0.1%","2.1%","2.7%","10.7%","72.9%","","43.1%","17.4%","14.5%","11.1%","5.7%","4.4%","3.9%","","12.2%","26.7%","38.4%","22.6%","","55.7%","37.4%","4.5%","1.4%","0.6%","0.5%"
"        Margin of Error","±2,902","","","±0.4","±0.3","±0.1","±0.2","±0.1","±0.2","±0.2","±0.3","±0.4","","±0.5","±0.4","±0.3","±0.3","±0.2","±0.2","±0.2","","±0.3","±0.4","±0.6","±0.4","","±0.6","±0.5","±0.2","±0.1","±0.1","±0.1"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,702,235","","","89.4%","7.7%","0.2%","1.0%","0.0%","0.6%","1.1%","2.1%","88.1%","","19.6%","17.5%","20.5%","19.4%","13.0%","7.3%","2.7%","","15.7%","31.4%","29.9%","23.0%","","23.7%","40.6%","17.3%","8.0%","5.9%","4.4%"
"        Margin of Error","±5,177","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,152,012","","","93.7%","4.3%","0.2%","0.7%","0.0%","0.2%","0.8%","1.1%","92.9%","","11.5%","16.3%","21.9%","22.4%","15.9%","9.0%","3.0%","","13.9%","31.5%","28.2%","26.4%","","10.4%","41.2%","22.9%","10.9%","8.4%","6.2%"
"        Margin of Error","±7,286","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.3","±0.2","","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","550,223","","","80.6%","14.7%","0.3%","1.5%","0.1%","1.2%","1.7%","4.1%","78.1%","","36.6%","19.9%","17.5%","13.1%","7.0%","3.9%","2.0%","","19.3%","31.3%","33.5%","15.9%","","51.5%","39.5%","5.5%","1.9%","0.8%","0.8%"
"        Margin of Error","±4,576","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.4","±0.4","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.3","±0.5","±0.5","±0.4","","±0.5","±0.5","±0.2","±0.1","±0.1","±0.1"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,718,876","","","66.1%","30.0%","0.6%","1.3%","0.0%","0.8%","1.1%","3.5%","63.6%","","21.4%","17.0%","20.3%","19.4%","12.4%","7.0%","2.5%","","15.6%","31.8%","28.9%","23.6%","","24.4%","40.5%","15.5%","8.0%","6.4%","5.1%"
"        Margin of Error","±4,824","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.2","","±0.3","±0.3","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,139,756","","","74.5%","22.4%","0.6%","1.2%","0.0%","0.4%","0.9%","2.4%","72.6%","","12.0%","15.9%","22.1%","22.6%","15.5%","8.9%","3.0%","","13.3%","32.1%","27.8%","26.8%","","10.7%","41.0%","20.9%","11.0%","9.2%","7.2%"
"        Margin of Error","±6,731","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.2","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","579,120","","","49.7%","45.0%","0.7%","1.6%","0.0%","1.5%","1.5%","5.8%","45.9%","","39.9%","19.2%","16.9%","12.9%","6.3%","3.3%","1.5%","","20.2%","31.4%","31.2%","17.2%","","51.4%","39.6%","5.0%","1.9%","1.1%","1.1%"
"        Margin of Error","±4,664","","","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.4","±0.3","±0.3","±0.3","±0.2","±0.1","±0.1","","±0.4","±0.5","±0.5","±0.4","","±0.5","±0.5","±0.2","±0.1","±0.1","±0.1"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","553,086","","","96.7%","0.7%","0.5%","0.7%","0.0%","0.1%","1.2%","0.9%","96.0%","","15.8%","15.5%","21.6%","21.4%","14.1%","8.3%","3.2%","","8.0%","31.2%","31.0%","29.7%","","20.8%","39.2%","17.9%","10.6%","6.6%","4.9%"
"        Margin of Error","±2,062","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.4","±0.3","±0.4","","±0.4","±0.4","±0.3","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","395,074","","","98.0%","0.2%","0.3%","0.6%","0.0%","0.1%","0.8%","0.6%","97.5%","","8.7%","15.1%","23.2%","24.7%","16.5%","8.8%","3.0%","","6.4%","30.3%","30.3%","33.1%","","9.2%","39.0%","22.4%","14.0%","8.9%","6.5%"
"        Margin of Error","±2,798","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.3","±0.2","±0.2","±0.2","","±0.2","±0.4","±0.4","±0.4","","±0.3","±0.5","±0.4","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,012","","","93.6%","1.8%","1.1%","1.1%","0.0%","0.2%","2.1%","1.6%","92.4%","","33.6%","16.6%","17.5%","13.3%","8.1%","7.1%","3.8%","","12.3%","33.6%","32.9%","21.2%","","49.7%","39.7%","6.7%","2.0%","0.9%","0.9%"
"        Margin of Error","±2,283","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.3","","±0.7","±0.6","±0.6","±0.6","±0.4","±0.4","±0.3","","±0.6","±0.9","±0.8","±0.8","","±1.0","±1.0","±0.4","±0.2","±0.1","±0.1"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,155,983","","","61.9%","29.0%","0.3%","5.0%","0.0%","2.1%","1.7%","5.8%","58.7%","","17.7%","18.5%","22.8%","19.6%","12.1%","6.6%","2.9%","","9.0%","22.8%","27.5%","40.7%","","22.4%","41.9%","17.3%","8.9%","5.2%","4.2%"
"        Margin of Error","±5,424","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,445,880","","","69.8%","22.3%","0.2%","5.0%","0.0%","1.3%","1.5%","4.3%","67.1%","","9.6%","17.2%","25.0%","23.0%","14.7%","7.7%","2.9%","","6.6%","21.3%","26.3%","45.8%","","9.4%","42.1%","22.9%","12.3%","7.3%","6.0%"
"        Margin of Error","±7,677","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","710,103","","","45.8%","42.8%","0.4%","5.1%","0.1%","3.7%","2.2%","8.9%","41.5%","","34.2%","21.2%","18.1%","12.6%","6.7%","4.3%","2.9%","","14.0%","25.8%","30.0%","30.3%","","48.9%","41.7%","6.0%","1.9%","0.9%","0.7%"
