"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Households","Households!!One race--","Households!!One race--!!White","Households!!One race--!!Black or African American","Households!!One race--!!American Indian and Alaska Native","Households!!One race--!!Asian","Households!!One race--!!Native Hawaiian and Other Pacific Islander","Households!!One race--!!Some other race","Households!!Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children under 18 years","FAMILIES!!Families!!With no own children under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Female householder, no husband present","FAMILIES!!Families!!Male householder, no wife present","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","PERCENT IMPUTED","PERCENT IMPUTED!!Household income in the past 12 months","PERCENT IMPUTED!!Family income in the past 12 months","PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"        Estimate","","1,132,488","","80.5%","14.9%","0.6%","1.1%","0.1%","1.4%","1.4%","4.4%","77.7%","","5.2%","32.3%","38.0%","24.5%","","761,579","41.9%","58.1%","73.3%","20.0%","6.8%","","370,909","53.3%","46.9%","6.4%","46.7%","38.2%","8.5%","","28.4%","29.0%","25.8%"
"        Margin of Error","","±4,067","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.1","","±4,376","±0.3","±0.3","±0.4","±0.3","±0.2","","±3,820","±0.5","±0.5","±0.3","±0.5","±0.5","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,264","","44,553","26,733","37,048","55,922","30,118","33,038","34,322","34,173","45,070","","22,179","45,741","48,739","32,199","","51,464","46,943","54,027","61,974","24,692","35,467","","23,520","20,526","18,990","35,461","27,417","25,102","43,055","","(X)","(X)","(X)"
"        Margin of Error","","±239","","±332","±479","±5,545","±3,776","±4,623","±2,059","±1,785","±1,174","±337","","±787","±629","±527","±347","","±339","±670","±405","±478","±514","±1,159","","±293","±357","±327","±1,809","±537","±595","±1,711","","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,617,280","","67.4%","6.5%","0.7%","12.7%","0.3%","9.4%","3.0%","28.0%","50.3%","","3.5%","35.6%","39.9%","21.0%","","8,666,286","47.1%","52.9%","71.5%","19.8%","8.7%","","3,950,994","52.8%","42.5%","10.2%","47.2%","34.4%","12.8%","","30.8%","31.3%","26.8%"
"        Margin of Error","","±20,413","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±22,818","±0.1","±0.1","±0.2","±0.1","±0.1","","±11,133","±0.2","±0.2","±0.1","±0.2","±0.1","±0.1","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,489","","64,405","43,476","45,319","77,932","60,087","44,969","58,769","47,206","72,061","","29,452","64,546","73,775","44,204","","70,187","63,605","75,244","85,968","36,766","48,216","","40,639","35,184","30,219","65,098","47,118","39,742","71,780","","(X)","(X)","(X)"
"        Margin of Error","","±154","","±206","±481","±1,536","±570","±2,481","±247","±904","±197","±239","","±454","±320","±302","±190","","±250","±415","±243","±279","±215","±485","","±170","±222","±185","±818","±358","±383","±706","","(X)","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,998,314","","87.4%","3.7%","0.8%","2.4%","0.1%","3.4%","2.2%","15.4%","76.5%","","5.2%","36.5%","39.1%","19.2%","","1,282,425","46.2%","53.8%","76.9%","16.1%","7.1%","","715,889","51.3%","41.8%","9.5%","48.7%","36.5%","12.2%","","26.0%","26.2%","24.1%"
"        Margin of Error","","±5,078","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±5,634","±0.2","±0.2","±0.3","±0.2","±0.2","","±4,684","±0.3","±0.3","±0.2","±0.3","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,448","","61,794","41,980","40,268","64,854","55,405","38,258","47,342","41,982","65,015","","27,717","63,453","72,479","42,655","","73,817","69,903","76,584","85,888","35,636","48,941","","37,046","33,373","29,616","57,595","41,656","35,811","63,461","","(X)","(X)","(X)"
"        Margin of Error","","±312","","±316","±1,275","±1,745","±2,630","±4,847","±1,211","±1,895","±497","±396","","±789","±563","±569","±408","","±451","±791","±525","±475","±677","±1,345","","±346","±415","±435","±1,335","±492","±493","±1,254","","(X)","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,356,206","","81.5%","9.4%","0.2%","3.3%","0.0%","4.0%","1.6%","11.0%","75.2%","","2.4%","30.7%","42.9%","23.9%","","899,557","44.6%","55.4%","73.9%","19.6%","6.6%","","456,649","55.5%","47.8%","7.7%","44.5%","35.1%","9.3%","","30.0%","30.7%","26.9%"
"        Margin of Error","","±2,983","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","","±3,879","±0.3","±0.3","±0.3","±0.3","±0.2","","±3,066","±0.4","±0.4","±0.3","±0.4","±0.5","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69,899","","75,804","42,838","43,609","86,676","52,900","34,826","51,642","39,375","78,695","","29,940","73,361","87,842","44,298","","88,217","86,981","89,024","105,904","40,293","59,611","","39,584","33,495","29,378","71,599","46,769","40,833","78,226","","(X)","(X)","(X)"
"        Margin of Error","","±520","","±499","±1,150","±3,367","±2,302","±13,037","±1,527","±1,835","±1,145","±563","","±1,784","±1,106","±844","±443","","±590","±1,080","±656","±636","±778","±1,693","","±451","±568","±491","±1,827","±770","±621","±2,759","","(X)","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","339,046","","73.7%","19.9%","0.4%","2.9%","0.0%","1.7%","1.4%","5.8%","70.1%","","3.2%","30.8%","40.7%","25.3%","","227,841","40.7%","59.3%","72.1%","20.7%","7.3%","","111,205","56.2%","47.6%","8.6%","43.8%","33.4%","10.4%","","32.6%","32.8%","30.0%"
"        Margin of Error","","±1,589","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.2","±0.4","±0.3","±0.2","","±2,025","±0.5","±0.5","±0.6","±0.5","±0.4","","±1,850","±0.7","±0.8","±0.5","±0.7","±0.8","±0.6","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","60,231","","64,791","46,149","35,809","87,453","38,914","40,474","47,325","46,295","65,660","","29,750","64,800","72,237","44,076","","72,683","70,007","74,202","87,011","37,917","51,458","","36,747","31,482","28,235","59,390","43,745","38,829","65,669","","(X)","(X)","(X)"
"        Margin of Error","","±601","","±768","±1,065","±7,209","±9,266","±22,101","±2,369","±4,126","±2,531","±628","","±2,488","±1,310","±1,285","±908","","±756","±1,657","±911","±820","±1,438","±1,238","","±770","±816","±1,092","±3,946","±1,000","±1,980","±3,441","","(X)","(X)","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","267,415","","45.0%","46.2%","0.4%","3.7%","0.0%","2.6%","2.1%","7.8%","40.7%","","4.7%","44.5%","32.4%","18.4%","","113,596","42.0%","58.0%","54.7%","36.4%","8.9%","","153,819","55.2%","45.1%","10.1%","44.8%","33.3%","11.5%","","31.5%","35.3%","27.6%"
"        Margin of Error","","±1,579","","±0.4","±0.4","±0.1","±0.2","±0.1","±0.2","±0.2","±0.3","±0.3","","±0.3","±0.4","±0.4","±0.2","","±1,517","±0.7","±0.7","±0.9","±0.8","±0.6","","±1,505","±0.7","±0.7","±0.5","±0.7","±0.7","±0.5","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69,235","","111,817","40,829","62,928","82,213","75,156","46,148","72,630","61,210","115,109","","31,384","83,013","69,931","47,139","","82,791","63,587","93,095","144,086","37,891","51,405","","60,243","55,024","47,216","104,289","66,674","53,022","123,034","","(X)","(X)","(X)"
"        Margin of Error","","±1,127","","±2,028","±853","±23,088","±6,281","±104,146","±4,498","±10,881","±4,028","±2,351","","±3,049","±1,630","±1,745","±1,954","","±3,148","±4,411","±2,867","±3,704","±1,681","±3,837","","±1,129","±1,393","±1,918","±3,849","±2,640","±2,203","±6,437","","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,217,508","","80.7%","13.7%","0.3%","2.1%","0.1%","1.8%","1.5%","18.6%","64.8%","","3.2%","29.2%","38.7%","29.0%","","4,650,162","38.7%","61.3%","72.3%","20.6%","7.1%","","2,567,346","54.3%","46.2%","8.1%","45.7%","35.3%","10.4%","","32.9%","33.1%","31.2%"
"        Margin of Error","","±24,923","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±22,123","±0.2","±0.2","±0.2","±0.1","±0.1","","±10,249","±0.2","±0.2","±0.1","±0.2","±0.2","±0.1","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,212","","50,002","34,467","38,808","61,248","50,838","38,663","42,356","40,712","52,147","","25,030","50,755","55,662","37,683","","57,176","52,345","59,851","68,782","31,704","40,515","","30,319","26,626","24,123","48,962","35,181","30,731","54,094","","(X)","(X)","(X)"
"        Margin of Error","","±163","","±182","±264","±3,168","±956","±4,249","±972","±907","±304","±192","","±452","±308","±339","±194","","±240","±444","±231","±359","±246","±486","","±176","±170","±175","±772","±295","±273","±691","","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,540,690","","63.8%","29.9%","0.3%","2.9%","0.0%","2.0%","1.2%","6.2%","60.0%","","4.1%","36.5%","39.7%","19.6%","","2,407,098","46.0%","54.0%","70.4%","22.7%","6.9%","","1,133,592","54.1%","47.0%","7.1%","45.9%","36.4%","9.6%","","33.0%","33.7%","29.8%"
"        Margin of Error","","±10,836","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±10,292","±0.2","±0.2","±0.3","±0.2","±0.2","","±5,992","±0.3","±0.4","±0.2","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
