"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Households","Households!!One race--","Households!!One race--!!White","Households!!One race--!!Black or African American","Households!!One race--!!American Indian and Alaska Native","Households!!One race--!!Asian","Households!!One race--!!Native Hawaiian and Other Pacific Islander","Households!!One race--!!Some other race","Households!!Two or more races","Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children under 18 years","FAMILIES!!Families!!With no own children under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Female householder, no husband present","FAMILIES!!Families!!Male householder, no wife present","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","PERCENT IMPUTED","PERCENT IMPUTED!!Household income in the past 12 months","PERCENT IMPUTED!!Family income in the past 12 months","PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"        Margin of Error","","±6,801","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±6,490","±0.2","±0.2","±0.3","±0.2","±0.2","","±4,965","±0.3","±0.3","±0.2","±0.3","±0.4","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,737","","51,311","30,531","35,741","52,818","32,589","35,463","37,993","38,618","51,623","","22,736","53,136","59,465","35,667","","60,440","57,166","62,134","71,627","28,679","41,338","","28,641","24,549","22,543","43,933","34,062","31,122","49,559","","(X)","(X)","(X)"
"        Margin of Error","","±254","","±221","±562","±2,468","±2,296","±7,293","±1,224","±2,266","±964","±224","","±649","±443","±459","±275","","±310","±600","±299","±376","±402","±672","","±293","±242","±228","±1,353","±410","±367","±1,057","","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,232,228","","93.8%","2.5%","0.3%","1.5%","0.0%","0.9%","0.9%","3.4%","91.5%","","5.9%","32.0%","37.9%","24.2%","","797,031","43.8%","56.2%","79.4%","14.3%","6.3%","","435,197","52.6%","44.7%","7.9%","47.4%","36.8%","10.6%","","26.5%","25.8%","26.3%"
"        Margin of Error","","±3,504","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","","±2,907","±0.2","±0.2","±0.3","±0.3","±0.2","","±2,917","±0.4","±0.4","±0.2","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,716","","53,780","27,745","31,208","59,028","57,115","39,465","36,181","40,551","54,102","","26,242","60,276","65,223","35,945","","66,829","65,444","67,808","76,255","30,413","43,476","","29,996","25,539","23,437","44,175","35,376","31,781","54,185","","(X)","(X)","(X)"
"        Margin of Error","","±271","","±277","±1,389","±6,511","±3,494","±30,034","±2,054","±2,471","±1,147","±279","","±641","±488","±500","±372","","±402","±645","±500","±409","±483","±745","","±357","±315","±284","±1,608","±489","±400","±1,420","","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,112,335","","88.1%","5.6%","0.7%","2.0%","0.0%","1.7%","1.8%","7.4%","82.8%","","6.0%","33.5%","38.1%","22.4%","","730,983","45.8%","54.2%","77.6%","15.8%","6.6%","","381,352","53.1%","45.7%","7.5%","46.9%","37.4%","9.4%","","25.7%","25.6%","24.6%"
"        Margin of Error","","±3,321","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.1","","±3,559","±0.3","±0.3","±0.3","±0.3","±0.2","","±3,127","±0.5","±0.4","±0.3","±0.5","±0.5","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,872","","53,621","32,903","39,104","60,287","60,278","39,298","41,090","39,779","54,776","","25,813","56,041","65,005","37,533","","65,804","62,752","68,007","76,277","29,753","42,555","","30,021","26,414","24,371","44,861","34,469","31,491","49,962","","(X)","(X)","(X)"
"        Margin of Error","","±245","","±282","±1,124","±2,926","±2,881","±26,223","±2,273","±2,019","±859","±307","","±594","±658","±507","±352","","±406","±650","±523","±484","±668","±1,138","","±275","±338","±347","±1,212","±570","±382","±1,491","","(X)","(X)","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,702,235","","89.4%","7.7%","0.2%","1.0%","0.0%","0.6%","1.1%","2.1%","88.1%","","4.6%","32.5%","39.9%","23.0%","","1,134,316","42.2%","57.8%","73.8%","19.2%","7.0%","","567,919","54.0%","47.1%","6.9%","46.0%","37.2%","8.8%","","27.4%","27.5%","25.9%"
"        Margin of Error","","±5,177","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","","±5,334","±0.3","±0.3","±0.3","±0.3","±0.2","","±4,154","±0.4","±0.4","±0.2","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,342","","44,895","28,858","30,713","62,293","38,095","33,225","33,835","34,575","45,053","","22,754","49,463","51,642","31,622","","54,928","53,205","55,911","66,385","25,024","35,559","","24,435","21,586","19,704","40,366","28,438","25,198","45,098","","(X)","(X)","(X)"
"        Margin of Error","","±237","","±249","±753","±6,741","±2,347","±6,605","±1,811","±2,617","±1,325","±262","","±670","±635","±395","±338","","±373","±744","±376","±349","±406","±1,018","","±263","±297","±294","±1,142","±603","±372","±1,350","","(X)","(X)","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,718,876","","66.1%","30.0%","0.6%","1.3%","0.0%","0.8%","1.1%","3.5%","63.6%","","4.8%","33.6%","39.7%","21.9%","","1,133,340","43.4%","56.6%","66.6%","25.6%","7.7%","","585,536","52.4%","45.8%","6.5%","47.6%","38.6%","9.1%","","33.9%","35.1%","30.0%"
"        Margin of Error","","±4,824","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.2","±0.1","","±5,006","±0.3","±0.3","±0.4","±0.3","±0.2","","±3,723","±0.4","±0.4","±0.2","±0.4","±0.4","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,991","","54,727","28,116","41,408","53,586","64,119","40,149","37,307","44,481","55,070","","22,089","51,117","53,475","31,890","","56,755","53,354","58,916","75,308","25,273","42,921","","25,757","21,410","19,583","42,949","32,112","28,800","49,926","","(X)","(X)","(X)"
"        Margin of Error","","±329","","±460","±355","±6,039","±3,461","±25,280","±2,925","±2,269","±1,301","±488","","±653","±564","±554","±317","","±524","±827","±505","±598","±390","±1,241","","±295","±294","±296","±1,614","±432","±737","±1,307","","(X)","(X)","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","553,086","","96.7%","0.7%","0.5%","0.7%","0.0%","0.1%","1.2%","0.9%","96.0%","","3.3%","28.0%","43.0%","25.6%","","347,972","39.1%","60.9%","77.8%","15.3%","6.9%","","205,114","55.2%","45.1%","10.1%","44.8%","33.3%","11.5%","","23.9%","23.5%","22.8%"
"        Margin of Error","","±2,062","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±2,256","±0.3","±0.3","±0.5","±0.4","±0.3","","±2,266","±0.6","±0.7","±0.4","±0.6","±0.6","±0.5","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,804","","49,258","24,370","28,835","53,495","39,688","60,933","37,367","39,421","49,360","","27,557","54,154","58,420","34,067","","61,824","56,767","64,293","71,282","29,082","38,620","","27,714","25,158","21,417","52,078","31,677","26,116","54,370","","(X)","(X)","(X)"
"        Margin of Error","","±481","","±492","±4,351","±6,404","±4,135","±89,491","±10,975","±3,681","±3,105","±500","","±1,398","±830","±946","±541","","±608","±1,024","±685","±620","±1,097","±1,438","","±554","±529","±416","±1,838","±786","±642","±2,501","","(X)","(X)","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,155,983","","61.9%","29.0%","0.3%","5.0%","0.0%","2.1%","1.7%","5.8%","58.7%","","2.8%","33.4%","42.3%","21.5%","","1,445,917","44.5%","55.5%","71.1%","21.7%","7.2%","","710,066","56.4%","47.9%","8.4%","43.6%","33.9%","9.8%","","29.7%","30.3%","26.4%"
"        Margin of Error","","±5,424","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±6,015","±0.2","±0.2","±0.3","±0.2","±0.2","","±4,654","±0.4","±0.4","±0.2","±0.4","±0.3","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","74,149","","82,638","58,657","54,127","92,457","56,756","58,273","70,072","62,493","83,652","","33,982","76,590","90,470","50,102","","89,416","86,833","91,230","108,757","47,700","59,173","","46,090","41,111","36,175","79,146","52,922","46,624","80,808","","(X)","(X)","(X)"
"        Margin of Error","","±395","","±517","±564","±5,544","±2,056","±18,836","±1,420","±2,560","±1,194","±509","","±1,155","±624","±726","±544","","±559","±810","±664","±534","±716","±1,325","","±404","±471","±501","±2,152","±620","±678","±1,429","","(X)","(X)","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,538,485","","83.7%","6.1%","0.2%","4.8%","0.0%","3.4%","1.8%","8.0%","79.8%","","2.9%","32.4%","41.4%","23.4%","","1,615,062","44.4%","55.6%","73.7%","19.9%","6.4%","","923,423","56.0%","46.0%","9.9%","44.0%","33.1%","10.9%","","31.0%","31.8%","28.3%"
"        Margin of Error","","±4,546","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±6,687","±0.2","±0.2","±0.3","±0.3","±0.2","","±5,515","±0.3","±0.3","±0.2","±0.3","±0.3","±0.3","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","67,846","","72,181","42,895","36,701","77,889","81,103","32,154","48,977","34,870","73,949","","30,397","76,699","84,099","39,550","","86,132","87,580","85,272","104,231","38,143","55,451","","39,227","33,487","27,527","76,770","46,729","37,620","81,387","","(X)","(X)","(X)"
"        Margin of Error","","±387","","±353","±861","±4,298","±1,769","±23,441","±904","±2,632","±679","±395","","±1,091","±555","±678","±358","","±494","±913","±549","±547","±625","±974","","±397","±384","±385","±1,468","±609","±671","±1,237","","(X)","(X)","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,827,880","","81.8%","13.4%","0.5%","2.1%","0.0%","0.7%","1.4%","3.1%","79.7%","","4.1%","30.5%","41.2%","24.2%","","2,501,059","42.4%","57.6%","73.5%","19.6%","6.9%","","1,326,821","53.3%","45.9%","7.4%","46.7%","37.5%","9.2%","","28.6%","28.7%","27.0%"
"        Margin of Error","","±9,311","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±8,359","±0.2","±0.2","±0.2","±0.2","±0.1","","±5,294","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,087","","52,395","29,628","37,217","73,809","47,147","38,363","36,180","38,757","52,740","","21,580","53,327","59,969","36,782","","61,684","59,940","62,708","74,199","28,602","40,457","","28,923","25,536","23,716","43,821","33,628","30,701","49,196","","(X)","(X)","(X)"
"        Margin of Error","","±192","","±175","±366","±1,826","±1,882","±13,315","±1,514","±1,212","±888","±190","","±394","±394","±328","±215","","±249","±524","±241","±279","±302","±491","","±175","±158","±182","±769","±305","±262","±866","","(X)","(X)","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,115,337","","89.3%","4.5%","0.9%","3.0%","0.0%","0.9%","1.3%","3.0%","87.4%","","4.4%","34.0%","39.7%","21.9%","","1,372,311","45.4%","54.6%","78.7%","14.8%","6.5%","","743,026","52.6%","44.1%","8.6%","47.4%","36.3%","11.0%","","24.0%","23.7%","23.0%"
"        Margin of Error","","±5,381","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±5,062","±0.2","±0.2","±0.3","±0.2","±0.2","","±3,642","±0.3","±0.3","±0.2","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","60,828","","63,127","29,873","32,161","65,575","56,094","39,673","43,451","41,674","63,642","","28,656","68,028","74,820","38,446","","76,190","76,538","75,960","87,135","34,263","47,558","","35,157","30,522","26,694","58,877","40,836","35,156","66,348","","(X)","(X)","(X)"
"        Margin of Error","","±240","","±291","±959","±1,646","±1,551","±14,921","±1,846","±2,207","±984","±291","","±870","±543","±445","±333","","±333","±627","±322","±314","±538","±963","","±306","±343","±297","±1,302","±423","±414","±1,149","","(X)","(X)","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,092,627","","62.8%","34.8%","0.4%","0.8%","0.0%","0.6%","0.7%","1.9%","61.7%","","3.9%","32.7%","39.8%","23.6%","","750,575","42.8%","57.2%","65.8%","26.9%","7.3%","","342,052","54.1%","48.7%","5.4%","45.9%","38.5%","7.4%","","32.7%","33.7%","28.7%"
"        Margin of Error","","±4,203","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.2","±0.1","","±4,113","±0.3","±0.3","±0.4","±0.3","±0.2","","±3,716","±0.5","±0.6","±0.3","±0.5","±0.5","±0.4","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","39,464","","48,738","26,384","36,379","51,584","18,846","34,671","33,695","38,802","48,960","","21,311","43,119","45,830","29,690","","49,125","44,717","51,624","63,949","23,593","36,732","","21,748","18,910","17,611","37,313","26,136","23,864","40,810","","(X)","(X)","(X)"
"        Margin of Error","","±306","","±468","±317","±5,505","±4,806","±36,115","±5,988","±2,921","±3,303","±474","","±937","±607","±543","±419","","±437","±795","±398","±479","±409","±978","","±263","±289","±320","±2,564","±510","±671","±1,721","","(X)","(X)","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,361,232","","85.0%","11.0%","0.4%","1.4%","0.1%","0.7%","1.4%","2.6%","83.3%","","4.8%","32.5%","39.1%","23.6%","","1,532,908","43.0%","57.0%","74.8%","18.6%","6.6%","","828,324","54.0%","46.5%","7.5%","46.0%","36.4%","9.5%","","28.6%","28.9%","26.6%"
"        Margin of Error","","±6,423","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±6,280","±0.2","±0.2","±0.3","±0.2","±0.1","","±5,023","±0.3","±0.4","±0.2","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,764","","50,655","31,831","35,855","61,162","35,976","31,350","37,293","38,431","50,811","","23,579","53,109","57,978","34,776","","60,414","57,983","61,915","71,613","29,153","40,739","","28,051","24,733","22,662","44,521","32,673","29,154","49,685","","(X)","(X)","(X)"
"        Margin of Error","","±234","","±223","±487","±4,300","±2,527","±9,576","±2,023","±1,510","±1,263","±223","","±484","±455","±420","±259","","±328","±623","±348","±342","±380","±818","","±263","±264","±239","±1,065","±433","±484","±1,059","","(X)","(X)","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","407,797","","92.6%","0.3%","4.5%","0.6%","0.1%","0.3%","1.6%","2.2%","91.0%","","5.4%","29.5%","40.4%","24.7%","","256,008","40.5%","59.5%","79.0%","14.0%","7.0%","","151,789","50.4%","42.2%","8.2%","49.6%","39.0%","10.6%","","29.2%","29.2%","27.8%"
"        Margin of Error","","±1,827","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.3","±0.3","±0.2","","±2,164","±0.4","±0.4","±0.5","±0.5","±0.3","","±1,982","±0.6","±0.6","±0.4","±0.6","±0.6","±0.6","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","46,766","","48,107","36,842","30,284","47,631","30,000","32,023","37,542","36,434","48,332","","25,992","52,540","55,064","35,632","","60,581","58,492","61,712","68,505","27,225","40,737","","27,657","24,342","22,005","42,397","32,186","27,964","50,863","","(X)","(X)","(X)"
"        Margin of Error","","±502","","±589","±15,211","±1,241","±4,426","±37,234","±3,477","±3,486","±1,680","±606","","±1,184","±870","±1,069","±774","","±695","±1,247","±766","±758","±908","±1,776","","±549","±455","±430","±2,700","±790","±1,067","±1,686","","(X)","(X)","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","731,347","","90.9%","4.3%","0.6%","1.5%","0.1%","1.4%","1.2%","6.2%","86.4%","","6.2%","33.9%","37.4%","22.4%","","475,740","45.4%","54.6%","78.2%","15.3%","6.4%","","255,607","52.0%","44.4%","7.6%","48.0%","37.8%","10.2%","","24.7%","24.6%","23.7%"
"        Margin of Error","","±2,551","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.1","","±2,739","±0.3","±0.3","±0.4","±0.3","±0.2","","±2,541","±0.5","±0.5","±0.3","±0.5","±0.5","±0.4","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,400","","54,303","28,376","26,879","51,551","43,839","40,862","39,139","39,328","55,369","","26,753","56,879","65,436","36,868","","66,188","63,135","68,120","76,521","30,340","42,605","","30,483","25,681","23,563","44,757","35,772","32,065","54,378","","(X)","(X)","(X)"
"        Margin of Error","","±334","","±354","±1,561","±3,000","±3,178","±13,954","±1,354","±2,937","±1,346","±401","","±751","±663","±641","±495","","±448","±921","±560","±453","±864","±1,192","","±323","±334","±331","±2,027","±616","±553","±1,721","","(X)","(X)","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,005,958","","75.3%","8.3%","1.0%","6.6%","0.5%","5.8%","2.6%","19.4%","62.6%","","4.0%","36.0%","38.7%","21.4%","","648,498","45.6%","54.4%","70.2%","20.1%","9.7%","","357,460","47.2%","37.9%","9.2%","52.8%","40.1%","12.7%","","31.8%","32.4%","28.6%"
"        Margin of Error","","±4,387","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","","±4,690","±0.4","±0.4","±0.5","±0.4","±0.3","","±3,482","±0.5","±0.5","±0.3","±0.5","±0.5","±0.4","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","52,205","","54,736","37,269","42,555","60,168","45,921","42,351","50,799","43,255","57,399","","31,410","54,451","60,175","41,382","","61,081","53,900","65,843","72,566","34,935","45,629","","35,054","30,941","26,996","54,204","39,391","33,783","60,900","","(X)","(X)","(X)"
"        Margin of Error","","±302","","±455","±1,269","±3,675","±1,757","±2,306","±1,147","±1,825","±603","±576","","±999","±603","±642","±599","","±485","±784","±718","±737","±708","±1,267","","±559","±496","±586","±2,991","±824","±754","±1,669","","(X)","(X)","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","519,580","","95.4%","1.0%","0.2%","1.8%","0.0%","0.4%","1.2%","2.1%","93.9%","","3.1%","29.6%","44.6%","22.7%","","347,228","41.4%","58.6%","79.2%","14.4%","6.4%","","172,352","53.0%","42.1%","10.9%","47.0%","34.5%","12.5%","","26.9%","27.0%","24.9%"
"        Margin of Error","","±2,032","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±2,278","±0.4","±0.4","±0.5","±0.4","±0.4","","±2,023","±0.7","±0.8","±0.5","±0.7","±0.8","±0.6","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","65,986","","66,212","49,815","36,298","78,339","128,807","51,169","49,325","48,670","66,460","","34,016","73,372","79,429","41,786","","80,812","81,832","80,078","91,617","38,827","51,386","","37,473","32,286","26,485","64,466","43,460","36,346","67,465","","(X)","(X)","(X)"
"        Margin of Error","","±546","","±558","±3,669","±18,183","±5,616","±45,486","±18,026","±5,891","±4,592","±565","","±2,184","±1,287","±1,112","±767","","±665","±1,093","±830","±804","±1,218","±2,085","","±775","±678","±579","±2,920","±1,038","±1,330","±2,230","","(X)","(X)","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,188,498","","72.6%","13.2%","0.2%","7.5%","0.0%","4.9%","1.6%","14.7%","63.8%","","1.8%","32.0%","42.7%","23.6%","","2,208,075","45.4%","54.6%","73.5%","19.5%","7.0%","","980,423","56.2%","49.2%","7.0%","43.8%","34.8%","9.1%","","32.7%","33.4%","29.3%"
"        Margin of Error","","±6,117","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±6,757","±0.2","±0.2","±0.2","±0.2","±0.1","","±5,127","±0.3","±0.3","±0.2","±0.3","±0.3","±0.2","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","72,062","","77,446","46,640","36,663","103,101","74,375","45,137","59,161","49,097","81,644","","32,789","77,813","88,136","44,740","","87,999","88,627","87,592","106,425","42,555","56,701","","40,065","33,700","30,000","77,172","49,262","42,131","84,148","","(X)","(X)","(X)"
"        Margin of Error","","±330","","±401","±603","±6,017","±987","±15,818","±816","±2,274","±775","±335","","±1,138","±657","±634","±359","","±513","±894","±549","±542","±623","±1,199","","±363","±440","±378","±1,948","±710","±607","±1,778","","(X)","(X)","(X)"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","764,684","","78.0%","2.0%","6.5%","1.2%","0.0%","10.0%","2.2%","40.1%","49.3%","","4.8%","31.1%","39.9%","24.2%","","498,137","43.3%","56.7%","69.6%","21.6%","8.8%","","266,547","52.2%","44.4%","7.7%","47.8%","38.4%","9.4%","","29.7%","30.9%","25.9%"
"        Margin of Error","","±2,848","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.3","±0.2","","±3,349","±0.4","±0.4","±0.5","±0.5","±0.3","","±3,268","±0.6","±0.7","±0.4","±0.6","±0.6","±0.4","","(X)","(X)","(X)"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,968","","47,835","40,960","31,562","58,744","39,732","34,423","40,821","37,184","54,464","","24,129","46,863","54,190","36,439","","54,801","46,697","60,464","68,452","27,289","39,159","","28,122","25,650","22,863","45,924","31,389","27,282","51,398","","(X)","(X)","(X)"
"        Margin of Error","","±419","","±573","±2,955","±915","±4,559","±37,359","±1,124","±3,214","±664","±662","","±794","±813","±701","±600","","±636","±1,084","±801","±932","±728","±1,453","","±526","±505","±648","±2,672","±627","±524","±2,938","","(X)","(X)","(X)"
"New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,255,528","","70.0%","14.7%","0.4%","6.5%","0.0%","6.6%","1.9%","14.6%","63.5%","","2.9%","32.9%","41.0%","23.3%","","4,636,017","43.9%","56.1%","69.0%","23.2%","7.7%","","2,619,511","55.4%","47.1%","8.3%","44.6%","34.7%","9.9%","","34.9%","36.8%","30.0%"
