"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,288,814","±728","319,243","±363","2,930,339","±843","1,542,183","±443","11,199,800","±1,982","2,795,761","±710","1,771,370","±725","451,436","±256","198,177","±262","8,744,092","±2,448","3,916,069","±1,292","242,659","±199","956,115","±321","5,706,930","±819","3,666,437","±633","1,868,280","±514","1,530,206","±364","2,635,316","±538","1,948,934","±526","924,484","±157","2,248,349","±667","3,612,618","±2,145","5,346,396","±622","3,178,001","±490","1,191,300","±559","3,424,173","±613","646,116","±301","1,046,093","±269","1,132,972","±596","884,111","±314","3,619,142","±1,005","610,960","±632","7,977,098","±1,652","4,718,733","±972","434,504","±207","6,541,263","±714","1,853,430","±424","2,333,424","±581","7,176,924","±864","569,265","±580","2,324,975","±564","495,899","±196","3,553,558","±793","8,572,364","±2,002","1,483,251","±515","416,037","±87","3,767,293","±713","3,750,649","±724","1,203,437","±544","3,381,290","±527","340,666","±281","23,045","±1,356"
"    Male:","1,098,049","±436","169,066","±267","1,430,235","±498","743,379","±285","5,542,953","±1,144","1,386,552","±431","847,063","±409","214,908","±132","100,184","±129","4,230,294","±1,318","1,892,255","±732","129,947","±129","470,330","±200","2,758,568","±588","1,770,905","±394","907,938","±329","742,071","±207","1,266,147","±412","943,492","±319","443,997","±109","1,082,814","±434","1,719,395","±1,226","2,603,573","±388","1,558,778","±354","573,559","±342","1,655,297","±363","321,574","±228","510,506","±172","575,156","±421","430,448","±295","1,732,065","±638","297,903","±433","3,842,277","±1,032","2,258,639","±583","220,377","±103","3,153,769","±452","895,514","±305","1,134,156","±372","3,458,424","±508","269,296","±356","1,114,174","±330","246,152","±177","1,704,649","±502","4,184,826","±1,181","734,295","±277","201,544","±52","1,831,071","±513","1,849,135","±410","582,453","±433","1,660,409","±283","171,436","±160","12,180","±858"
"        Less than high school diploma","135,537","±2,426","7,544","±473","86,367","±2,236","86,838","±1,903","289,529","±3,875","51,635","±1,580","49,965","±1,330","17,584","±824","489","±144","329,293","±4,830","193,561","±3,568","4,009","±364","31,598","±1,184","169,128","±2,797","175,692","±2,974","58,835","±1,514","45,300","±1,226","182,541","±2,710","118,427","±2,707","36,771","±1,254","72,559","±1,669","108,522","±2,184","208,137","±2,744","75,157","±1,294","77,180","±2,281","157,784","±2,652","20,259","±923","27,600","±851","35,740","±1,215","31,043","±1,258","102,117","±1,911","17,408","±1,032","271,636","±3,962","221,464","±3,187","15,351","±835","278,843","±3,604","83,918","±1,573","75,773","±2,051","269,959","±3,382","23,434","±1,135","111,414","±2,544","16,915","±752","200,327","±3,081","259,243","±4,217","34,154","±1,509","17,255","±742","149,204","±2,975","101,527","±2,121","83,554","±1,995","106,619","±1,879","9,083","±595","1,780","±330"
"        High school graduate (includes equivalency)","335,060","±3,601","45,126","±1,256","318,078","±3,493","267,029","±2,905","1,011,882","±8,530","274,134","±3,793","225,476","±3,382","66,741","±1,487","2,355","±315","1,164,385","±9,283","520,804","±4,883","24,949","±800","133,173","±2,380","721,637","±5,718","625,348","±5,310","304,638","±2,996","200,727","±2,233","448,647","±3,965","320,465","±3,935","150,786","±2,064","263,078","±3,003","434,198","±5,052","773,636","±5,525","409,815","±3,818","173,031","±3,283","537,734","±4,149","96,351","±2,008","139,440","±1,666","156,407","±2,375","125,365","±1,901","454,293","±4,395","65,062","±1,707","982,877","±7,141","581,462","±5,841","61,776","±1,173","1,095,504","±6,406","289,153","±3,058","267,662","±3,036","1,238,330","±7,128","76,589","±1,701","303,581","±3,807","78,786","±1,496","565,740","±4,783","972,971","±8,328","152,724","±2,553","65,908","±1,282","438,857","±4,376","425,435","±4,648","249,860","±2,626","531,874","±3,638","53,622","±1,540","2,706","±417"
"        Some college or associate's degree","316,310","±3,668","60,799","±1,454","502,655","±3,508","211,686","±2,518","1,749,916","±8,240","411,159","±3,483","200,497","±2,648","56,729","±1,323","5,812","±474","1,266,675","±6,427","510,734","±4,745","42,687","±1,098","164,664","±2,426","797,915","±5,369","495,957","±3,886","290,624","±2,691","234,115","±2,175","338,145","±3,390","249,402","±3,055","125,244","±1,961","254,510","±2,940","380,817","±3,592","835,099","±4,294","507,422","±3,295","181,686","±3,102","474,477","±3,663","101,013","±1,803","176,277","±1,750","210,638","±2,492","119,103","±1,949","400,281","±3,525","96,607","±1,793","960,345","±6,003","677,472","±5,543","81,344","±1,388","864,647","±4,936","274,958","±2,380","394,038","±3,777","815,648","±5,231","69,160","±1,346","328,322","±3,147","78,777","±1,319","453,248","±4,126","1,306,365","±7,410","255,269","±2,550","48,107","±921","466,457","±4,179","624,958","±4,896","134,785","±2,537","521,954","±3,434","60,601","±1,435","3,430","±472"
"        Bachelor's degree or higher","311,142","±3,697","55,597","±1,250","523,135","±4,063","177,826","±3,037","2,491,626","±10,105","649,624","±4,140","371,125","±3,314","73,854","±1,429","91,528","±579","1,469,941","±9,345","667,156","±5,512","58,302","±998","140,895","±2,496","1,069,888","±6,059","473,908","±4,882","253,841","±3,133","261,929","±2,772","296,814","±4,256","255,198","±3,097","131,196","±2,020","492,667","±3,774","795,858","±5,010","786,701","±6,024","566,384","±3,817","141,662","±2,552","485,302","±4,715","103,951","±1,860","167,189","±1,952","172,371","±2,464","154,937","±1,999","775,374","±5,261","118,826","±1,987","1,627,419","±8,160","778,241","±6,447","61,906","±1,307","914,775","±7,324","247,485","±2,809","396,683","±3,441","1,134,487","±7,145","100,113","±1,870","370,857","±3,987","71,674","±1,393","485,334","±4,523","1,646,247","±9,806","292,148","±2,954","70,274","±1,347","776,553","±5,039","697,215","±5,067","114,254","±2,493","499,962","±4,222","48,130","±1,087","4,264","±495"
"    Female:","1,190,765","±459","150,177","±339","1,500,104","±488","798,804","±261","5,656,847","±1,196","1,409,209","±440","924,307","±434","236,528","±169","97,993","±185","4,513,798","±1,373","2,023,814","±867","112,712","±141","485,785","±229","2,948,362","±458","1,895,532","±343","960,342","±278","788,135","±251","1,369,169","±267","1,005,442","±362","480,487","±94","1,165,535","±423","1,893,223","±1,220","2,742,823","±398","1,619,223","±245","617,741","±357","1,768,876","±325","324,542","±172","535,587","±159","557,816","±357","453,663","±99","1,887,077","±535","313,057","±470","4,134,821","±904","2,460,094","±623","214,127","±146","3,387,494","±413","957,916","±242","1,199,268","±315","3,718,500","±482","299,969","±304","1,210,801","±392","249,747","±140","1,848,909","±450","4,387,538","±1,139","748,956","±376","214,493","±69","1,936,222","±488","1,901,514","±449","620,984","±292","1,720,881","±304","169,230","±171","10,865","±823"
"        Less than high school diploma","130,741","±2,768","5,660","±525","80,209","±2,214","78,587","±1,874","278,238","±4,044","45,008","±1,498","48,094","±1,610","14,439","±777","581","±127","293,166","±5,041","176,256","±3,192","3,413","±468","28,129","±1,311","162,523","±2,694","167,311","±2,906","51,020","±1,576","41,819","±1,370","165,823","±3,266","98,393","±2,360","28,441","±1,283","67,247","±1,683","102,105","±2,097","190,281","±2,960","57,400","±1,373","63,992","±1,979","149,230","±2,534","16,484","±814","23,504","±809","33,182","±1,168","23,875","±1,117","105,197","±2,106","14,284","±938","256,912","±3,183","184,019","±3,623","11,806","±582","269,609","±3,795","83,527","±1,502","64,703","±2,094","262,669","±3,298","24,296","±1,062","101,636","±2,164","13,009","±768","190,328","±3,083","260,460","±4,194","30,512","±1,192","11,267","±599","129,089","±2,741","88,495","±2,158","74,819","±1,959","84,464","±1,489","8,475","±610","1,362","±246"
"        High school graduate (includes equivalency)","353,592","±3,708","32,258","±1,161","336,059","±3,606","263,188","±2,888","1,026,582","±7,904","262,101","±3,377","230,731","±3,237","71,723","±1,533","1,688","±261","1,295,325","±8,839","548,599","±5,245","20,593","±900","126,858","±2,358","759,625","±5,277","627,602","±3,956","284,746","±2,995","193,797","±2,328","430,388","±3,492","333,179","±3,804","143,366","±2,034","274,165","±2,895","426,171","±4,469","791,415","±5,138","384,099","±2,707","176,737","±3,036","524,881","±4,017","88,749","±1,699","134,394","±1,741","152,135","±2,148","119,931","±1,988","526,643","±4,198","63,874","±1,645","1,039,689","±6,303","593,430","±4,936","52,756","±1,163","1,116,306","±6,114","289,798","±2,852","269,058","±2,975","1,306,906","±7,065","77,546","±1,854","321,947","±3,292","71,117","±1,490","586,282","±4,437","1,027,264","±6,518","167,929","±2,239","56,108","±1,213","447,808","±4,389","409,280","±4,408","241,917","±2,650","511,902","±3,372","44,486","±1,287","2,312","±345"
"        Some college or associate's degree","374,158","±3,805","52,564","±1,462","559,519","±3,990","251,890","±3,052","1,917,733","±8,522","431,061","±3,694","235,815","±2,337","68,171","±1,648","5,177","±493","1,468,256","±6,673","591,761","±4,655","35,023","±1,166","190,378","±2,688","881,927","±5,388","573,811","±4,702","331,330","±2,791","262,960","±2,602","423,214","±3,506","279,675","±3,221","145,413","±1,757","296,948","±3,183","467,066","±3,884","927,337","±5,026","546,613","±3,520","210,915","±3,275","545,581","±3,822","108,878","±1,650","187,868","±2,060","209,138","±2,523","138,440","±1,866","435,104","±3,876","105,236","±1,863","1,038,121","±5,874","810,472","±5,741","76,055","±1,202","998,253","±5,833","313,095","±2,868","438,767","±3,825","920,303","±5,226","83,898","±1,687","388,600","±3,512","85,069","±1,374","539,514","±4,607","1,430,369","±6,932","296,209","±2,342","59,391","±1,181","547,151","±3,639","697,058","±4,074","173,237","±2,554","556,703","±3,575","65,758","±1,293","2,686","±379"
