"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","779,415","±1,122","14,984","±386","161,833","±1,252","269,644","±1,033","1,459,895","±3,089","129,471","±1,115","225,130","±1,433","121,460","±506","209,560","±744","1,877,182","±4,090","1,849,722","±2,570","16,457","±532","4,831","±327","1,135,430","±1,983","352,295","±1,441","49,031","±701","98,519","±963","210,427","±1,189","878,013","±1,244","6,837","±265","1,116,021","±1,978","280,211","±2,206","841,875","±1,672","155,141","±931","657,101","±1,352","416,864","±1,045","2,427","±233","47,636","±603","142,837","±1,256","9,322","±514","764,105","±2,468","25,187","±646","1,963,426","±3,871","1,308,059","±1,695","4,902","±309","855,260","±1,884","165,021","±979","42,589","±779","846,407","±2,339","37,866","±1,003","808,831","±1,071","6,338","±282","651,041","±1,241","1,885,434","±2,679","15,472","±547","3,184","±214","1,002,963","±2,007","155,621","±1,537","38,686","±745","197,024","±1,097","3,360","±405","204,017","±3,713"
"    Male:","345,768","±873","8,516","±346","84,301","±824","122,878","±665","706,101","±2,276","70,127","±970","102,955","±876","54,835","±291","91,164","±453","870,132","±2,601","827,053","±1,831","10,659","±371","3,050","±265","506,571","±1,786","162,247","±973","25,973","±524","49,589","±677","100,720","±876","399,966","±939","4,234","±253","495,838","±1,131","130,693","±1,227","381,474","±1,063","78,913","±654","295,056","±1,016","188,086","±752","1,934","±236","23,864","±447","70,771","±873","5,515","±429","343,238","±1,404","14,351","±493","862,187","±2,503","583,528","±1,093","3,167","±251","390,948","±1,190","80,699","±681","23,704","±558","390,049","±1,649","18,244","±667","362,432","±652","4,079","±302","293,787","±902","880,252","±2,015","9,105","±372","1,837","±168","464,107","±1,536","85,992","±986","20,959","±560","93,226","±698","2,139","±350","98,645","±2,478"
"        Less than high school diploma","78,360","±1,987","1,037","±230","10,400","±741","24,765","±1,028","90,104","±2,178","8,452","±682","17,597","±1,065","8,716","±635","16,538","±903","192,085","±3,218","149,783","±2,927","559","±242","450","±189","91,797","±1,851","28,198","±1,039","4,506","±417","6,574","±542","17,168","±800","109,578","±2,164","755","±176","66,836","±1,538","22,157","±881","71,862","±1,800","12,721","±779","81,464","±1,651","34,665","±1,180","313","±169","3,668","±377","9,196","±662","622","±172","52,351","±1,406","1,538","±264","165,391","±2,887","118,327","±2,377","404","±150","70,362","±1,539","11,457","±631","3,012","±482","68,998","±2,168","4,497","±444","85,620","±2,070","710","±199","54,954","±1,444","122,302","±2,327","1,106","±229","322","±97","87,231","±1,590","9,610","±786","2,876","±331","19,138","±859","184","±82","32,161","±1,380"
"        High school graduate (includes equivalency)","131,549","±2,334","2,267","±338","22,393","±1,077","53,319","±1,288","186,073","±3,058","20,269","±971","38,152","±1,462","20,911","±737","32,115","±1,191","311,248","±4,338","288,099","±4,041","2,162","±340","810","±194","162,327","±2,633","58,318","±1,574","8,213","±576","15,553","±763","39,491","±1,108","153,794","±2,369","1,140","±199","165,500","±2,519","41,246","±1,298","134,586","±2,144","23,020","±960","104,886","±2,224","65,696","±1,388","399","±143","6,715","±491","23,780","±1,134","1,751","±478","127,814","±2,376","3,363","±435","287,308","±3,469","207,068","±2,682","867","±230","142,345","±2,392","29,931","±878","5,996","±565","165,426","±2,783","4,868","±530","144,573","±2,223","1,003","±216","112,881","±1,869","290,030","±3,506","2,508","±374","402","±106","154,547","±2,691","22,881","±986","7,986","±504","34,265","±1,081","928","±300","30,664","±1,129"
"        Some college or associate's degree","94,041","±1,815","3,674","±414","33,638","±1,360","30,814","±1,148","282,546","±3,445","26,176","±1,083","28,726","±992","15,797","±917","22,116","±980","240,769","±3,730","242,209","±3,405","5,409","±389","1,151","±221","170,646","±2,752","52,407","±1,710","8,727","±588","18,453","±809","30,649","±1,179","95,229","±2,194","1,384","±237","144,628","±2,263","38,266","±1,331","123,953","±2,202","26,398","±953","79,646","±1,966","60,783","±1,523","696","±211","8,885","±538","27,541","±1,025","1,436","±261","96,362","±2,007","5,838","±457","247,850","±3,509","170,471","±2,439","1,155","±190","125,654","±2,142","27,033","±945","8,732","±595","101,659","±2,154","5,530","±515","91,420","±2,254","1,421","±312","82,165","±1,830","301,409","±3,792","3,510","±437","445","±112","135,775","±2,134","35,067","±1,086","6,927","±522","29,038","±1,020","665","±197","20,652","±999"
"        Bachelor's degree or higher","41,818","±1,347","1,538","±292","17,870","±902","13,980","±798","147,378","±3,236","15,230","±956","18,480","±990","9,411","±779","20,395","±866","126,030","±2,940","146,962","±2,739","2,529","±293","639","±180","81,801","±1,925","23,324","±1,236","4,527","±453","9,009","±573","13,412","±897","41,365","±1,536","955","±194","118,874","±2,226","29,024","±1,317","51,073","±1,307","16,774","±846","29,060","±1,333","26,942","±1,081","526","±181","4,596","±421","10,254","±763","1,706","±311","66,711","±1,526","3,612","±414","161,638","±2,465","87,662","±2,329","741","±206","52,587","±1,290","12,278","±790","5,964","±479","53,966","±1,731","3,349","±374","40,819","±1,671","945","±255","43,787","±1,358","166,511","±3,347","1,981","±285","668","±149","86,554","±1,811","18,434","±843","3,170","±319","10,785","±568","362","±139","15,168","±929"
"    Female:","433,647","±647","6,468","±233","77,532","±820","146,766","±541","753,794","±2,132","59,344","±681","122,175","±978","66,625","±389","118,396","±448","1,007,050","±2,547","1,022,669","±1,825","5,798","±305","1,781","±187","628,859","±1,207","190,048","±874","23,058","±507","48,930","±547","109,707","±724","478,047","±618","2,603","±178","620,183","±1,295","149,518","±1,296","460,401","±997","76,228","±611","362,045","±762","228,778","±814","493","±122","23,772","±452","72,066","±651","3,807","±278","420,867","±1,511","10,836","±377","1,101,239","±2,692","724,531","±1,253","1,735","±182","464,312","±1,271","84,322","±613","18,885","±484","456,358","±1,331","19,622","±590","446,399","±713","2,259","±203","357,254","±843","1,005,182","±2,047","6,367","±315","1,347","±124","538,856","±1,334","69,629","±885","17,727","±501","103,798","±733","1,221","±235","105,372","±1,995"
"        Less than high school diploma","81,095","±1,704","723","±230","7,990","±653","27,184","±954","82,002","±2,093","6,414","±530","18,365","±975","8,679","±701","18,116","±905","183,348","±2,764","151,339","±2,494","237","±128","401","±171","91,757","±1,833","26,596","±998","4,219","±441","6,683","±516","17,336","±737","99,659","±1,579","627","±133","65,920","±1,688","27,327","±908","66,589","±1,559","16,946","±769","79,827","±1,490","35,795","±1,219","56","±69","3,857","±355","8,923","±683","686","±163","57,588","±1,572","1,159","±326","196,473","±3,044","112,979","±2,102","392","±128","73,420","±1,850","9,785","±584","2,923","±394","68,541","±1,507","4,315","±490","84,578","±1,866","567","±140","56,828","±1,349","123,130","±2,375","1,005","±191","259","±92","84,236","±2,052","9,409","±715","2,312","±334","19,814","±825","145","±95","27,620","±1,086"
"        High school graduate (includes equivalency)","129,063","±2,297","1,630","±323","17,050","±1,120","47,158","±1,250","166,517","±2,851","14,322","±754","37,472","±1,361","21,063","±932","38,146","±1,093","306,674","±3,874","279,875","±3,849","551","±169","426","±182","163,185","±2,394","59,542","±1,489","5,961","±472","12,740","±635","31,679","±1,021","156,005","±2,577","778","±169","171,178","±2,828","39,793","±1,423","124,039","±2,114","17,972","±1,027","98,304","±1,603","63,788","±1,734","148","±88","6,034","±515","21,895","±1,096","840","±224","131,719","±2,177","2,291","±258","314,682","±3,717","197,873","±2,629","229","±82","135,248","±2,346","25,495","±859","3,764","±401","159,226","±2,653","5,669","±610","143,350","±2,506","688","±190","106,390","±2,022","267,227","±3,476","1,275","±250","158","±73","148,035","±2,529","16,864","±865","6,677","±415","29,360","±1,048","329","±130","26,886","±1,075"
"        Some college or associate's degree","144,600","±2,480","2,175","±303","34,220","±1,233","49,257","±1,537","328,041","±3,742","24,290","±967","41,304","±1,217","21,889","±1,096","32,838","±1,139","327,641","±3,690","352,786","±3,795","3,185","±377","471","±156","236,198","±2,609","71,984","±1,467","8,925","±603","19,494","±821","41,693","±1,129","144,000","±2,234","731","±142","205,928","±2,746","46,657","±1,416","182,842","±2,439","28,104","±1,081","119,966","±1,819","86,099","±1,575","160","±71","9,427","±494","28,210","±1,213","1,377","±287","134,256","±2,002","4,187","±400","330,679","±3,475","263,092","±2,655","522","±154","177,338","±2,481","32,133","±871","8,030","±585","148,065","±2,241","6,242","±464","141,441","±2,270","577","±145","121,440","±1,637","382,327","±3,678","2,682","±337","403","±100","180,744","±2,467","29,757","±959","5,750","±421","40,115","±1,198","516","±162","25,702","±1,153"
